suburb,postcode,type,elevation,population,median_income,sqkm,lat,lng,Dist_CBD,Dist_Geelong,Dist_Ballarat
Germantown,3741,Rural locality,614,0,0,27.907,-36.73917,147.07821,222.05037625910936,287.4165786785362,300.5374351038656
Buckland,3740,Rural locality,960,135,30316,379.027,-36.85632,146.88705,200.68310290766985,266.028258665102,280.33454472310046
Wandiligong,3744,Urban locality,454,453,31512,43.989,-36.798,146.98319,211.3883556112908,276.74423758783206,290.44778112675374
Mudgegonga,3691,Rural locality,361,172,35360,153.807,-36.49568,146.86038,223.0681370294971,288.2744394246335,292.4886733479509
Kancoona,3691,Rural locality,529,84,30732,153.966,-36.59077,147.00748,226.4591717640103,291.8858316012725,300.3548178108492
Running Creek,3691,Rural locality,262,42,32448,15.173,-36.55074,147.05609,232.6151413827785,298.0369913974941,306.0576893565097
Freeburgh,3741,Rural locality,605,110,25428,25.88,-36.7726,147.05918,218.6074675889524,283.9443437618228,297.7566201565493
Eurobin,3739,Rural locality,249,212,31720,55.018,-36.63652,146.84659,212.02016575551608,277.40979822483763,285.13489169898605
Mongans Bridge,3691,Rural locality,330,35,36400,29.771,-36.5895,147.11782,234.42850218392977,299.86780190000644,309.5605146636139
Myrtleford,3737,Urban locality,215,3193,26312,79.668,-36.57747,146.74446,209.28537271576403,274.4932952473031,279.30316232163625
Buffalo River,3737,Rural locality,413,255,27508,82.913,-36.65501,146.64824,197.14087688884163,262.3698317183398,267.9959871521684
Barwidgee,3737,Rural locality,256,106,25532,29.603,-36.51193,146.77269,216.0434752143566,281.15746543655393,284.6194392125735
Gapsted,3737,Rural locality,361,173,31824,53.832,-36.50428,146.6999,211.8900899335248,276.8564502046048,279.10778059443123
Ovens,3738,Rural locality,231,219,27820,27.746,-36.60471,146.78475,210.01453388936693,275.316562843547,281.3944283382725
Havilah,3737,Rural locality,514,21,31824,7.454,-36.62132,146.91364,217.75902880676267,283.1702462752855,291.315854051815
Rosewhite,3737,Rural locality,294,134,28236,104.499,-36.58073,146.88338,218.4800807600054,283.83658021900595,290.5416205677651
Nug Nug,3737,Rural locality,499,21,24232,48.788,-36.67027,146.73318,201.8046691927277,267.1508322916621,274.34886469514663
Merriang South,3737,Rural locality,443,41,31148,21.135,-36.59941,146.66235,202.2052844936606,267.3379131666982,271.61325587295823
Merriang,3737,Rural locality,226,178,35100,8.706,-36.56464,146.68652,206.4112907489292,271.5037674256771,275.1714511573091
Abbeyard,3737,Rural locality,535,0,0,327.501,-37.01414,146.78255,183.66484593913577,248.78474523299985,266.6642195054581
Dandongadale,3737,Rural locality,651,3,0,299.597,-36.83303,146.69447,187.98181963801508,253.4212728186508,264.8211363768064
Ararat,3377,Urban locality,306,8297,29172,161.179,-37.26581,142.97973,185.17931339674132,155.5506473850161,83.36603488499458
Rossbridge,3377,Rural locality,273,32,31824,50.875,-37.52234,142.8628,187.67394942513425,148.0789200218013,86.92378986722969
Mininera,3351,Rural locality,279,62,31148,111.895,-37.60386,142.95444,178.22662228192794,136.71339386855044,78.84099047919418
Nerrin Nerrin,3351,Rural locality,231,38,39624,134.385,-37.7602,143.02533,170.3777876701228,123.96510811408614,75.69186486869566
Lake Bolac,3351,Rural locality,211,330,25636,273.744,-37.7118,142.83547,187.3621016074743,141.4848948493173,90.68167891503404
Streatham,3351,Rural locality,259,156,23244,156.244,-37.62341,143.09618,165.56051120022195,124.64094819319614,66.56175483883841
Bornes Hill,3379,Rural locality,256,30,28600,233.334,-37.5294,142.48248,220.5942928383161,177.9172968205287,120.3946754142018
Willaura,3379,Rural locality,263,530,26884,444.693,-37.52498,142.68933,202.6785404514445,161.54455596857812,102.18853587177767
Moyston,3377,Rural locality,243,348,27872,227.353,-37.2769,142.74451,204.4977681060872,171.37216747795696,102.39595902955968
Elmhurst,3469,Rural locality,300,183,22464,69.305,-37.16859,143.26085,166.4389204851625,145.25965640211928,67.75161236111254
Pomonal,3381,Rural locality,258,322,27872,205.825,-37.25514,142.63529,214.44210181269983,180.71064493964727,112.33415437137134
Black Range,3381,Rural locality,410,189,31200,74.055,-37.13369,142.76061,208.55160111862,179.87054376250546,107.17560712172332
Westmere,3351,Rural locality,239,40,32760,85.725,-37.67937,142.97191,175.70130198575404,131.73112416682005,78.23538288031584
Wickliffe,3379,Rural locality,221,113,31512,171.645,-37.70684,142.7043,198.9107668833639,152.5184058295371,101.9685550702
Willaura North,3379,Rural locality,266,30,54132,112.701,-37.38824,142.74274,201.24097005836828,164.7179762932536,99.36203134063132
Cathcart,3377,Rural locality,320,91,44512,34.08,-37.31253,142.87954,191.91437157810225,159.35300027485417,89.81147401768149
Rocky Point,3377,Rural locality,411,0,0,7.101,-37.33596,142.85434,193.28011995081923,159.64819784398307,91.16942830208046
Rhymney,3377,Rural locality,283,60,42224,53.272,-37.21885,142.77914,203.65621102626636,172.70552456746998,101.7577009571771
Great Western,3374,Rural locality,337,400,27924,154.919,-37.16124,142.902,195.7899654179149,168.3312735447169,94.64183599164964
Norval,3377,Rural locality,354,38,36140,26.187,-37.25231,142.86162,195.5322608549836,164.6486648945758,93.5933382348234
Armstrong,3377,Rural locality,297,88,26468,19.185,-37.21342,142.8833,195.20359576088177,165.84330041614425,93.53630748865974
Narrapumelap South,3293,Rural locality,241,30,49348,77.98,-37.7556,142.64192,204.07298271496688,156.04925838331053,108.31310444379734
Chatsworth,3379,Rural locality,186,44,37024,93.823,-37.8402,142.65202,202.98675232622617,152.72485269991805,109.66818399114612
Mafeking,3379,Rural locality,397,19,31824,235.064,-37.38288,142.5518,217.7626529251944,179.60629250669356,116.04412556255252
Stavely,3379,Rural locality,261,37,21684,82.197,-37.60887,142.62441,206.97255205686437,162.96099342792007,107.90595405528856
Glenthompson,3293,Rural locality,299,232,25428,313.881,-37.70018,142.5195,215.17988819652064,168.16418577030748,117.96789506285693
Dunkeld,3379,Rural locality,257,678,31356,290.395,-37.65625,142.34558,230.83130863469208,184.2306376468193,132.72513741860055
Warrak,3377,Rural locality,542,66,34892,67.864,-37.28741,143.12267,172.47709600066898,144.40547177168222,70.86064952993327
Mount Cole,3377,Rural locality,672,21,18200,52.289,-37.24938,143.21768,166.21097248593682,141.2541789592369,65.53000684531881
Tatyoon,3378,Rural locality,293,130,35568,249.898,-37.50038,142.99671,176.56838616773828,139.0867329933566,75.32353441302168
Glenlogie,3469,Rural locality,367,33,34372,65.451,-37.24582,143.29818,159.8205432615462,136.64454632486186,59.84402800125837
Woorndoo,3272,Rural locality,210,169,30212,318.302,-37.88304,142.79671,190.35837303951809,139.2713111789011,99.12191042183716
Buangor,3375,Rural locality,344,103,22880,128.202,-37.36941,143.16449,165.99280008087484,135.62607655804797,63.92849591604456
Middle Creek,3375,Rural locality,355,19,19448,37.13,-37.39908,143.2546,157.4048488388224,127.4388368738971,55.32305262385604
Pura Pura,3271,Rural locality,210,37,56316,93.053,-37.81403,143.09733,163.88623003396833,115.97006877045926,71.76414577647839
Yalla-Y-Poora,3378,Rural locality,299,16,58500,58.441,-37.52744,143.13227,164.24869996501644,127.38453129663718,63.16710934732602
Denicull Creek,3377,Rural locality,298,27,29848,34.356,-37.33918,142.92973,186.7964912160324,154.02174936553556,84.68254961424842
Ballyrogan,3375,Rural locality,339,67,28912,173.081,-37.4282,143.07509,171.71629506521563,137.81214212604013,69.72202505364601
Dobie,3377,Rural locality,322,42,53092,62.099,-37.33219,143.03066,178.52216739664024,147.40133802185656,76.4609142364865
Langi Logan,3377,Rural locality,281,25,12428,42.89,-37.39388,142.92449,185.5525326821613,150.88635961821026,83.53818042126896
Dunneworthy,3377,Rural locality,299,19,43316,38.232,-37.20228,143.04196,182.5874450545116,156.06566577799893,81.58022280927096
Mount Cole Creek,3377,Rural locality,282,5,29900,39.651,-37.21872,143.12386,175.18907803542837,149.54791245314428,74.39288696716879
Eversley,3377,Rural locality,285,10,43316,28.578,-37.20148,143.17657,171.66227647419714,147.60886874475534,71.49055965369743
Bayindeen,3375,Rural locality,360,21,35724,28.87,-37.30321,143.18286,166.87441066665875,139.290500379546,65.30395754834416
Crowlands,3377,Rural locality,258,89,24128,104.482,-37.14203,143.11087,179.7026369935219,156.40825172479958,80.05113556791153
Maroona,3377,Rural locality,262,110,31148,130.149,-37.42114,142.86417,189.946899071668,153.6766526091114,88.13589376360517
Soldiers Hill,3350,Urban locality,450,2803,33644,1.533,-37.55129,143.85823,101.51356908532313,79.34928919903341,1.4214946036895908
Ballarat North,3350,Urban locality,469,3925,30056,2.659,-37.53726,143.86527,101.39166631820652,80.33560562387946,3.0536638009812966
Lake Wendouree,3350,Urban locality,452,2882,42640,4.569,-37.54986,143.83424,103.5830379169896,80.6465873485337,1.6896880193507278
Ballarat Central,3350,Urban locality,450,5328,32396,3.781,-37.55963,143.8507,101.88174841334892,78.93672394271051,0.3121778843346888
Black Hill,3350,Urban locality,484,2126,31200,1.757,-37.54998,143.87262,100.34481851510832,78.79244716301066,2.521857076408099
Brown Hill,3350,Urban locality,475,3582,35620,7.408,-37.54722,143.90699,97.55115528551752,77.49509565426939,5.458309177488644
Newington,3350,Urban locality,453,1900,32864,2.395,-37.56339,143.82763,103.71795478469969,79.73617090655065,1.7743387621406272
Eureka,3350,Urban locality,447,626,26520,0.426,-37.56479,143.88226,99.05161073922756,76.94571814535327,3.095269849671608
Ballarat East,3350,Urban locality,456,5623,27872,5.98,-37.56567,143.88635,98.6781848580787,76.6716259796616,3.466302040194933
Alfredton,3350,Urban locality,457,9220,35360,8.01,-37.55517,143.80089,106.2356422454804,81.8475442844076,4.156566701761784
Bakery Hill,3350,Urban locality,428,164,27612,0.239,-37.56343,143.86586,100.48052821643876,77.85049268983597,1.6438755966752845
Mount Pleasant,3350,Urban locality,431,2203,28964,2.006,-37.58079,143.85515,100.86189858493373,76.76580471434347,2.319278234976452
Redan,3350,Urban locality,426,2889,27144,2.229,-37.57733,143.83868,102.36338249795624,77.9078241838803,1.992294298746289
Canadian,3350,Urban locality,458,3609,33540,7.793,-37.58407,143.88309,98.39093295588248,75.09869732098869,4.063791773674967
Golden Point,3350,Urban locality,459,2107,27976,1.849,-37.57458,143.86339,100.3463642979722,76.93316047890177,2.073159686676494
Delacombe,3356,Urban locality,424,6297,30576,9.547,-37.58112,143.80471,105.14742712490376,79.32598622598626,4.394394141100529
Nerrina,3350,Urban locality,488,962,44824,6.802,-37.53866,143.89542,98.8175004985035,78.8304207424821,4.891370255529522
Glen Park,3352,Rural locality,577,103,37700,20.408,-37.50756,143.92218,97.75031832844498,80.71483087408706,8.857342329032075
Wendouree,3355,Urban locality,459,10445,24648,9.51,-37.5309,143.82592,104.91079291897844,82.80658004564155,3.833787646361112
Burrumbeet,3352,Rural locality,378,232,25220,86.14,-37.49644,143.61683,123.65508887771432,97.09851478101233,21.56458436369062
Smythes Creek,3351,Rural locality,408,1467,33644,26.671,-37.60325,143.76836,107.67248525519088,79.38656471817126,8.419016482335818
Lake Gardens,3355,Urban locality,462,1695,35932,1.197,-37.54758,143.81582,105.21105734702422,81.77365244804473,3.1576502887132376
Invermay Park,3350,Urban locality,466,1814,36660,2.514,-37.52905,143.86035,102.0890635274233,81.34008583591812,3.7112522795737206
Blowhard,3352,Rural locality,417,84,34580,29.32,-37.43243,143.78028,112.472030841611,94.19446089511558,15.460329387566004
Mitchell Park,3355,Urban locality,433,868,29432,19.653,-37.50908,143.78407,109.17349960520284,86.88695032167314,8.024811739703248
Miners Rest,3352,Urban locality,422,3095,39988,30.062,-37.4862,143.7927,109.28869699114904,88.56868531779561,9.603428339924994
Warrenheip,3352,Rural locality,539,669,31876,11.865,-37.57635,143.92663,94.93703073216128,73.82446820252092,7.184446645633224
Bald Hills,3364,Rural locality,439,107,20176,11.113,-37.44503,143.83538,107.44299973657242,90.49485321752492,12.921015160384458
Cardigan Village,3352,Urban locality,407,667,37336,1.729,-37.51779,143.71655,114.54943823231102,89.64651968916557,12.498618011958555
Mount Rowan,3352,Rural locality,512,294,26832,8.606,-37.50056,143.84025,104.8007360977679,84.96696249081157,6.732474637256213
Sulky,3352,Rural locality,492,232,37700,9.648,-37.45896,143.86177,104.69671164938518,88.00128476950233,11.397475937806531
Windermere,3352,Rural locality,396,97,34112,42.357,-37.48532,143.72258,115.15844609825318,92.19463375891802,13.85172649228912
Invermay,3352,Rural locality,481,835,38012,22.495,-37.50046,143.87718,101.74448294288496,83.31313801346553,7.205304394151471
Gong Gong,3352,Rural locality,541,9,44200,3.406,-37.547,143.93661,95.0790611207706,76.24445920985266,8.004502758559797
Wattle Flat,3352,Rural locality,591,97,36504,10.971,-37.48122,143.94349,97.08733066408124,82.49381177309412,12.248811356171622
Bo Peep,3351,Rural locality,411,21,37700,12.531,-37.54275,143.67089,117.64398987712042,90.08326325336353,15.698470662310587
Bunkers Hill,3352,Rural locality,446,261,35360,12.152,-37.57454,143.74511,110.4159190599593,83.15161627577946,9.152134582271326
Cardigan,3352,Rural locality,421,754,39520,40.68,-37.53696,143.74391,111.62491340295963,86.48156963863867,9.51038095070042
Learmonth,3352,Urban locality,457,438,27352,34.863,-37.42014,143.72178,117.76923905849438,98.15364288498094,19.17755776028853
Mount Bolton,3352,Rural locality,599,29,23400,25.794,-37.35898,143.69466,122.67723831079444,105.14641270920556,26.18715422010771
Waubra,3352,Rural locality,449,275,29276,71.533,-37.33522,143.6194,129.8254748032401,111.06293289223944,32.16871380799306
Tourello,3363,Rural locality,373,39,24648,20.3,-37.35429,143.78903,115.38631622106756,101.29564499497324,23.53926945018553
Glendonald,3364,Rural locality,439,11,23400,13.355,-37.36068,143.8446,110.68855868012018,98.37372578386132,22.25747000004985
Creswick,3363,Rural locality,421,3170,27092,49.899,-37.42112,143.89661,103.58694904695456,90.31143702456028,16.12828347449801
Ascot,3364,Rural locality,396,96,27768,36.429,-37.39784,143.81059,111.5658350892267,96.13870420992949,18.41431826274131
Glendaruel,3363,Rural locality,415,52,42640,13.645,-37.3466,143.7296,120.4749415405668,104.67004320541064,25.99575751959104
Coghills Creek,3364,Rural locality,408,71,23400,16.51,-37.3862,143.75201,116.80969104870287,99.87966315479818,21.16793744794966
Ercildoune,3352,Rural locality,404,70,35048,87.98,-37.4176,143.58811,128.8707112779191,105.42841065108576,27.88233679001065
Addington,3352,Rural locality,506,71,22932,18.596,-37.3937,143.66662,123.3945469545012,103.34388262062986,24.497906342728587
Weatherboard,3352,Rural locality,452,51,31824,14.028,-37.43318,143.67461,121.11184041670724,99.37368610439572,20.835454794358448
Mount Clear,3350,Urban locality,450,3390,29900,10.568,-37.60422,143.87258,98.71824447800114,73.7484883434131,5.306525360114412
Buninyong,3357,Urban locality,512,3714,36816,25.436,-37.64824,143.90146,95.15667904431068,68.27713741857286,10.819380000199336
Sebastopol,3356,Urban locality,418,10032,25428,8.339,-37.60216,143.83422,102.05420583923592,75.89624286920495,4.742017358360873
Mount Helen,3350,Urban locality,500,2975,29536,11.917,-37.62914,143.88637,96.89909448513647,70.77898515374474,8.331747434672412
Magpie,3352,Urban locality,418,371,30264,9.929,-37.63237,143.85025,99.93062829906935,72.36069226557184,7.958240363497167
Scotchmans Lead,3352,Rural locality,388,97,29224,4.304,-37.66678,143.84693,99.49366884943896,69.53404404698239,11.780875877607828
Durham Lead,3352,Rural locality,442,392,32656,32.604,-37.70004,143.90214,94.11906633823456,63.61166441923862,16.20974069164025
Scotsburn,3352,Rural locality,461,258,32708,24.193,-37.67618,143.93544,91.63971673237111,64.01918773865467,14.983271794466756
Bonshaw,3352,Rural locality,404,210,32916,3.393,-37.60375,143.81498,103.66068800861434,76.77517618786577,5.566451087239145
Ivanhoe,3079,Major Urban locality,58,12171,45500,5.54,-37.76811,145.04575,8.883192544532053,74.32267395999612,107.96063811338615
Viewbank,3084,Major Urban locality,48,6923,35568,4.546,-37.74066,145.09435,14.134040189736666,79.57345566243232,111.57620089876706
Yallambie,3085,Major Urban locality,65,4117,42484,2.933,-37.72684,145.09522,15.132513076577926,80.5292003984499,111.39669917340947
Bellfield,3081,Major Urban locality,64,1793,27872,0.931,-37.75299,145.03835,9.480042729638662,74.77630799317834,106.98642379400468
Heidelberg West,3081,Major Urban locality,72,5545,23660,3.213,-37.73923,145.04522,11.0155258903709,76.17540463042079,107.29527885897528
Ivanhoe East,3079,Major Urban locality,57,3815,49452,2.099,-37.77452,145.06287,9.812197151431224,75.15884004923308,109.58108971168194
Heidelberg,3084,Major Urban locality,39,6225,43004,2.934,-37.75137,145.07099,11.77140932597367,77.20857364942704,109.7695559323452
Rosanna,3084,Major Urban locality,64,8498,38688,3.374,-37.73984,145.07082,12.561750633992812,77.94360297091096,109.52284693371176
Eaglemont,3084,Major Urban locality,46,3873,49192,2.207,-37.76315,145.06512,10.60656951641718,76.0349967423267,109.51577376274118
Heidelberg Heights,3081,Major Urban locality,78,6087,35672,2.087,-37.74215,145.05347,11.271680642183153,76.56182726388593,108.06719885709916
Macleod,3085,Major Urban locality,79,9769,38168,4.571,-37.72083,145.07569,14.33346005163686,79.5468099880839,109.5951830696951
Greensborough,3088,Major Urban locality,53,20821,39104,10.254,-37.69977,145.102,17.625545551435668,82.80663536466933,111.54875472940682
Watsonia North,3087,Major Urban locality,75,3814,35360,1.45,-37.69549,145.08481,16.98037427810906,81.9050100162012,109.9870912703222
Bundoora,3083,Major Urban locality,109,28653,25740,17.231,-37.70282,145.06449,15.245922139521996,79.99838586934561,108.32512604575544
Watsonia,3087,Major Urban locality,95,5214,36608,2.301,-37.70997,145.08533,15.7939615820005,80.9527196183864,110.25258410718864
St Helena,3088,Major Urban locality,101,2923,39624,1.639,-37.68984,145.12869,20.07006601583989,85.34426429262587,113.739860218503
Montmorency,3094,Major Urban locality,93,8960,41340,3.832,-37.72058,145.12406,17.55941263612265,82.99577431902078,113.79552854295844
Lower Plenty,3093,Major Urban locality,53,3891,41236,6.822,-37.73855,145.11795,15.995278288724244,81.41192299348315,113.58134516861077
Briar Hill,3088,Major Urban locality,88,3152,39208,1.339,-37.70608,145.12166,18.39943227201829,83.76897088164594,113.35670848449672
Eltham North,3095,Major Urban locality,110,6805,41756,4.018,-37.69772,145.1418,20.353477827226826,85.74758537081135,114.99198012930876
Eltham,3095,Major Urban locality,82,18314,41964,16.587,-37.71466,145.1633,20.78523559707811,86.20364065996269,117.11604846851046
Cowes,3922,Urban locality,26,4839,25376,20.532,-38.47143,145.23016,76.74552211940419,84.70363174702688,157.86912222351455
Silverleaves,3922,Urban locality,6,211,29744,1.92,-38.4533,145.28008,76.30485169031334,87.88758774057854,160.00261169215372
Rhyll,3923,Urban locality,20,568,28496,17.433,-38.482,145.28407,79.40716826782133,89.46320856837562,162.25295573891216
Smiths Beach,3922,Urban locality,35,226,28132,0.74,-38.50082,145.25451,80.5116741058884,88.01857950747089,161.5866447076568
Sunset Strip,3922,Urban locality,46,427,28392,0.368,-38.49458,145.26705,80.21086416150783,88.70166842595636,161.9842300146097
Sunderland Bay,3922,Urban locality,23,234,27040,0.398,-38.50486,145.27603,81.54972787166088,89.89945095420546,163.31424536031545
Surf Beach,3922,Urban locality,25,533,32240,1.054,-38.50963,145.2904,82.47681138023076,91.256128539259,164.61656377008163
Cape Woolamai,3925,Urban locality,23,1676,30628,6.117,-38.54364,145.3431,87.6711931748169,97.03691527487268,170.55944183294085
Newhaven,3925,Urban locality,14,449,30628,8.644,-38.51385,145.32275,83.935036377309,93.99944562862694,167.09547163769028
Summerlands,3922,Rural locality,8,0,0,3.631,-38.50799,145.13456,78.6123610145865,79.17044166864167,154.26445672010232
Ventnor,3922,Urban locality,38,855,29016,38.838,-38.49304,145.20027,78.3041235573152,83.40783046692528,157.42760186500038
Wimbledon Heights,3922,Urban locality,62,373,30472,0.336,-38.4802,145.23415,77.78020890325885,85.42968491964285,158.75798959985192
Churchill Island,3925,Rural locality,17,0,0,0.562,-38.50105,145.33955,83.18852624019837,94.73585628631588,167.35169993209533
Kilcunda,3995,Urban locality,17,396,27300,19.645,-38.55728,145.49269,94.7312204241272,109.4487504692022,181.7198343289026
Dalyston,3992,Urban locality,10,583,30004,24.747,-38.56809,145.544,98.02585687496894,114.0145732897394,186.01283392071363
Wonthaggi,3995,Rural locality,50,4965,24232,53.385,-38.6215,145.59361,105.3429055010562,120.40514088429371,193.02313156277896
The Gurdies,3984,Rural locality,98,191,30524,17.002,-38.38834,145.56193,82.61377869924004,109.06957386650063,176.20320566008786
North Wonthaggi,3995,Urban locality,24,2806,25532,10.166,-38.57797,145.59699,101.41895479598736,118.677624939125,190.3791073548959
Inverloch,3996,Urban locality,12,5437,28912,101.915,-38.62046,145.73413,112.15913303946633,131.4933160027859,202.8300399786935
Ryanston,3992,Rural locality,132,271,25376,54.132,-38.50705,145.5926,94.70368407105516,115.43172957482392,185.5475528973176
Almurta,3979,Rural locality,64,48,35724,16.589,-38.45543,145.5848,89.69146015060642,112.97311433984812,181.82724284357897
Adams Estate,3984,Rural locality,83,59,34736,0.215,-38.42467,145.53247,84.21731504681367,107.62752655237507,176.1450213009246
Grantville,3984,Rural locality,61,831,24492,14.99,-38.41188,145.53934,83.43933711126772,107.8186304569649,175.89165556443575
San Remo,3925,Urban locality,83,1254,29328,15.59,-38.52919,145.40835,88.54317844900979,101.47781388224313,173.995656502344
South Dudley,3995,Urban locality,14,461,22464,1.529,-38.59417,145.575,101.90793617231876,117.6576251056366,189.90511910674215
Harmers Haven,3995,Rural locality,0,37,34736,1.029,-38.65703,145.57501,107.90928852661716,120.71800539287788,194.1634845857824
Cape Paterson,3995,Urban locality,34,891,28340,15.798,-38.65575,145.61755,109.67587650300882,123.9439820438118,196.98728156742592
Anderson,3995,Rural locality,68,28,23400,5.831,-38.52327,145.44819,89.54923991410432,104.38835221043384,176.35340608480388
Glen Forbes,3990,Rural locality,46,106,33332,25.766,-38.44891,145.52525,86.03797376849373,107.80724103863946,177.08332178140878
Lang Lang,3984,Rural locality,20,1585,29536,94.72,-38.29871,145.5762,76.07473929650546,108.3815448388573,172.3905728303285
Jam Jerrup,3984,Rural locality,4,97,29900,10.242,-38.33586,145.53925,76.88632447443602,105.89470221531032,171.5520332068579
Woodleigh,3945,Rural locality,90,125,29484,32.271,-38.39273,145.61063,85.74512297375601,113.31033132268972,180.10342676743548
Pound Creek,3996,Rural locality,19,104,32604,42.673,-38.61487,145.84513,117.769085771956,140.19628545292645,210.470640090527
Loch,3945,Rural locality,205,638,32968,76.413,-38.37879,145.71091,90.70472930293413,121.50734912134152,186.95348536888272
Wattle Bank,3995,Rural locality,43,177,32708,16.119,-38.57514,145.70756,106.75474789228088,127.45223371043149,198.0711734617496
Kongwak,3951,Rural locality,109,197,25584,37.808,-38.50683,145.71524,101.29370255155204,125.52287507556828,194.4764653413525
Lance Creek,3995,Rural locality,43,136,35464,21.064,-38.54602,145.67372,102.39357521122363,123.5479291363406,193.8213447268038
Outtrim,3951,Rural locality,54,235,28756,46.416,-38.53168,145.77987,107.08508142518026,131.7270361279389,200.70851371822556
Coronet Bay,3984,Urban locality,18,791,23556,4.1,-38.43481,145.44324,80.80797193589542,100.52748705928248,170.27754235612957
Corinella,3984,Rural locality,7,791,24284,16.79,-38.4252,145.46132,80.7413368868178,101.70572735253036,170.98551147071436
West Creek,3992,Rural locality,18,109,25220,20.175,-38.55498,145.59992,99.43558537446276,117.92796791382662,189.09938979099212
St Clair,3995,Rural locality,22,49,32760,17.421,-38.58398,145.64857,104.49517339665202,123.06657610338506,194.41447506631684
Tenby Point,3984,Rural locality,19,184,24180,0.236,-38.41424,145.47668,80.46275542474777,102.6365712728793,171.43167351513085
Kernot,3979,Rural locality,106,100,32604,25.759,-38.43984,145.61473,89.95856020277954,114.9800718860622,183.1105247017776
Pioneer Bay,3984,Urban locality,15,352,24180,0.212,-38.38097,145.54972,81.30475395369783,107.84298646162252,174.86909244081733
Archies Creek,3995,Rural locality,27,22,22100,0.069,-38.54826,145.56408,97.08855360222822,114.75994698294572,186.12655259553333
Bass,3991,Rural locality,12,359,22256,49.191,-38.47707,145.4726,86.15092419299633,104.476665137565,175.05446415657437
Woolamai,3995,Rural locality,98,208,24908,36.846,-38.50785,145.51453,90.98153282147612,109.09445969417094,180.00913113621144
Trafalgar,3824,Urban locality,77,3912,31616,67.922,-38.16259,146.14768,110.82022504419594,157.18523014202046,212.7179582924616
Erica,3825,Rural locality,393,191,25324,14.296,-37.97627,146.37904,125.5565693291389,178.68060899864415,227.25525890470283
Willow Grove,3825,Urban locality,153,590,32136,78.289,-38.07732,146.16188,109.12740620580352,158.71896009208342,211.2413867367053
Trafalgar East,3824,Rural locality,57,426,34372,35.935,-38.17315,146.19051,114.74015108222927,160.93262142467705,216.64201475695376
Moondarra,3825,Rural locality,191,46,25532,122.393,-38.04774,146.35485,124.80752125139324,175.79811595250413,226.8337131832197
Jacob Creek,3825,Rural locality,336,23,29900,18.953,-37.99453,146.42455,129.79238686978962,182.41568702052604,231.5598459918114
Narracan,3824,Rural locality,277,253,25792,37.875,-38.27104,146.23534,122.46246886347971,165.26943532858843,223.8519468458551
